L,X,mode,simulations,len_data
hs,0.05,bal,0.02824482174428796,6000.0
hs,0.05,unbal1,0.04388513166770334,6000.0
hs,0.05,unbal2,0.043732637681961,6000.0
hs,0.05,adj,0.03339607134262716,6000.0
hs,0.1,bal,0.0457261265089115,6000.0
hs,0.1,unbal1,0.03398680691833292,6000.0
hs,0.1,unbal2,0.03724452173143616,6000.0
hs,0.1,adj,0.034795600188175804,6000.0
hs,0.15,bal,0.0526133540678024,6000.0
hs,0.15,unbal1,0.03673950307915602,6000.0
hs,0.15,unbal2,0.035986159579902845,6000.0
hs,0.15,adj,0.033052334673801996,6000.0
hs,0.2,bal,0.05774118793676294,6000.0
hs,0.2,unbal1,0.01841904015226492,6000.0
hs,0.2,unbal2,0.0403391143104268,6000.0
hs,0.2,adj,0.04317456703351598,6000.0
hs,0.25,bal,0.05715741715100066,6000.0
hs,0.25,unbal1,0.02192935128294754,6000.0
hs,0.25,unbal2,0.08771522363308404,6000.0
hs,0.25,adj,0.058841243408289126,6000.0
hs,0.3,bal,0.03626469953921098,6000.0
hs,0.3,unbal1,0.0452228612198432,6000.0
hs,0.3,unbal2,0.10732380924555991,6000.0
hs,0.3,adj,0.05653339746561307,6000.0
ol,0.05,bal,0.02022277402535076,6000.0
ol,0.05,unbal1,0.0091633169580499,6000.0
ol,0.05,unbal2,0.03850479391001158,6000.0
ol,0.05,adj,0.01895135837636882,6000.0
ol,0.1,bal,0.014857661816924739,6000.0
ol,0.1,unbal1,0.028801274773105838,6000.0
ol,0.1,unbal2,0.04157234367154528,6000.0
ol,0.1,adj,0.0121405858801305,6000.0
ol,0.15,bal,0.013174693982750119,6000.0
ol,0.15,unbal1,0.03247236599326128,6000.0
ol,0.15,unbal2,0.06383873643353574,6000.0
ol,0.15,adj,0.01910743225246662,6000.0
ol,0.2,bal,0.01946287198175982,6000.0
ol,0.2,unbal1,0.055019081364323666,6000.0
ol,0.2,unbal2,0.07743545827989774,6000.0
ol,0.2,adj,0.00941288493086888,6000.0
ol,0.25,bal,0.02194445372372862,6000.0
ol,0.25,unbal1,0.06008167140384514,6000.0
ol,0.25,unbal2,0.09004715743934112,6000.0
ol,0.25,adj,0.014322170858085159,6000.0
ol,0.3,bal,0.011045702396035102,6000.0
ol,0.3,unbal1,0.06646293815324708,6000.0
ol,0.3,unbal2,0.11143378953586022,6000.0
ol,0.3,adj,0.0220152421403924,6000.0
