L,X,mode,simulations,len_data
hs,0.05,bal,0.8635262380572616,6000.0
hs,0.05,unbal1,0.8561378578480952,6000.0
hs,0.05,unbal2,0.8620096883943879,6000.0
hs,0.05,adj,0.8682062009776548,6000.0
hs,0.1,bal,0.843237301338896,6000.0
hs,0.1,unbal1,0.8537984744567012,6000.0
hs,0.1,unbal2,0.8589286519988972,6000.0
hs,0.1,adj,0.8667658130101454,6000.0
hs,0.15,bal,0.8425354765064241,6000.0
hs,0.15,unbal1,0.8576329767853421,6000.0
hs,0.15,unbal2,0.855974791363207,6000.0
hs,0.15,adj,0.8592488456648668,6000.0
hs,0.2,bal,0.8231498893024648,6000.0
hs,0.2,unbal1,0.8358514920955414,6000.0
hs,0.2,unbal2,0.8354318166857972,6000.0
hs,0.2,adj,0.8283907211505339,6000.0
hs,0.25,bal,0.815626417724847,6000.0
hs,0.25,unbal1,0.82132411752781,6000.0
hs,0.25,unbal2,0.825314090581091,6000.0
hs,0.25,adj,0.8152053160878232,6000.0
hs,0.3,bal,0.7922341474455497,6000.0
hs,0.3,unbal1,0.7888314242432186,6000.0
hs,0.3,unbal2,0.776454955658741,6000.0
hs,0.3,adj,0.7872936429251018,6000.0
ol,0.05,bal,0.891508904154834,6000.0
ol,0.05,unbal1,0.8847813588947258,6000.0
ol,0.05,unbal2,0.8923587917656406,6000.0
ol,0.05,adj,0.9030991040832408,6000.0
ol,0.1,bal,0.8870849927046663,6000.0
ol,0.1,unbal1,0.8769834767896955,6000.0
ol,0.1,unbal2,0.8882278755093758,6000.0
ol,0.1,adj,0.8856306081248849,6000.0
ol,0.15,bal,0.8764146084919389,6000.0
ol,0.15,unbal1,0.8756908404151191,6000.0
ol,0.15,unbal2,0.8796136104511149,6000.0
ol,0.15,adj,0.89193903863677,6000.0
ol,0.2,bal,0.8641913683202903,6000.0
ol,0.2,unbal1,0.8660727039680227,6000.0
ol,0.2,unbal2,0.8554856068546902,6000.0
ol,0.2,adj,0.8554618564867431,6000.0
ol,0.25,bal,0.8400915613628795,6000.0
ol,0.25,unbal1,0.8383795980573536,6000.0
ol,0.25,unbal2,0.8385578313702133,6000.0
ol,0.25,adj,0.8345283478485935,6000.0
ol,0.3,bal,0.8261125840583207,6000.0
ol,0.3,unbal1,0.8176695876974833,6000.0
ol,0.3,unbal2,0.8223238656329983,6000.0
ol,0.3,adj,0.8177832028937173,6000.0
