L,X,mode,simulations,len_data
hs,0.05,bal,0.02631616365934414,6000
hs,0.05,unbal1,0.06430717867637675,6000
hs,0.05,unbal2,0.09048896247918409,6000
hs,0.05,adj,0.02751905284846823,6000
hs,0.1,bal,0.0627960393523177,6000
hs,0.1,unbal1,0.03189135901058704,6000
hs,0.1,unbal2,0.03611558100755008,6000
hs,0.1,adj,0.04832783398230878,6000
hs,0.15,bal,0.02051995330254236,6000
hs,0.15,unbal1,0.03811702039788162,6000
hs,0.15,unbal2,0.044424092042694485,6000
hs,0.15,adj,0.02217737469772496,6000
hs,0.2,bal,0.051145567684041104,6000
hs,0.2,unbal1,0.014794644886089725,6000
hs,0.2,unbal2,0.001211117254032057,6000
hs,0.2,adj,0.08850389911101925,6000
hs,0.25,bal,0.06095873613324426,6000
hs,0.25,unbal1,0.025877108592126163,6000
hs,0.25,unbal2,0.0766953444141481,6000
hs,0.25,adj,0.057709551241662715,6000
hs,0.3,bal,0.07773918783929606,6000
hs,0.3,unbal1,0.07431598278615215,6000
hs,0.3,unbal2,0.10175094504389504,6000
hs,0.3,adj,0.03627328501906657,6000
ol,0.05,bal,0.009248699216047984,6000
ol,0.05,unbal1,0.02348484231705472,6000
ol,0.05,unbal2,0.008412617247675835,6000
ol,0.05,adj,0.043127550149212324,6000
ol,0.1,bal,0.0335733485169708,6000
ol,0.1,unbal1,0.0018944121249019341,6000
ol,0.1,unbal2,0.01678300731033089,6000
ol,0.1,adj,0.01555040051192047,6000
ol,0.15,bal,0.0009944903567432606,6000
ol,0.15,unbal1,0.04865842729955905,6000
ol,0.15,unbal2,0.052643934068828835,6000
ol,0.15,adj,0.03759161430448299,6000
ol,0.2,bal,0.0023519572893778706,6000
ol,0.2,unbal1,0.10738173698087533,6000
ol,0.2,unbal2,0.09092599508364996,6000
ol,0.2,adj,0.014991079421838083,6000
ol,0.25,bal,0.03218417463699974,6000
ol,0.25,unbal1,0.027854092275102937,6000
ol,0.25,unbal2,0.11950094298770031,6000
ol,0.25,adj,0.04192524748543902,6000
ol,0.3,bal,0.016223500492175358,6000
ol,0.3,unbal1,0.03261346486012151,6000
ol,0.3,unbal2,0.09332398987362789,6000
ol,0.3,adj,0.04739978536417078,6000
