L,X,mode,simulations,len_data
hs,0.05,bal,0.849492428644555,6000
hs,0.05,unbal1,0.8686962846993317,6000
hs,0.05,unbal2,0.8717283873674102,6000
hs,0.05,adj,0.8457583197360591,6000
hs,0.1,bal,0.8368862390936916,6000
hs,0.1,unbal1,0.8647101683270224,6000
hs,0.1,unbal2,0.8595599926593153,6000
hs,0.1,adj,0.8557355215910658,6000
hs,0.15,bal,0.8546158061991318,6000
hs,0.15,unbal1,0.8550072604106337,6000
hs,0.15,unbal2,0.8655708159618821,6000
hs,0.15,adj,0.8701462646941929,6000
hs,0.2,bal,0.8208917162471395,6000
hs,0.2,unbal1,0.8404574011299434,6000
hs,0.2,unbal2,0.829806814899693,6000
hs,0.2,adj,0.8171932028835432,6000
hs,0.25,bal,0.7980381496367357,6000
hs,0.25,unbal1,0.8118497054592549,6000
hs,0.25,unbal2,0.8337814276930476,6000
hs,0.25,adj,0.8156969799373835,6000
hs,0.3,bal,0.7938029178759118,6000
hs,0.3,unbal1,0.7821249699146786,6000
hs,0.3,unbal2,0.7686386320787473,6000
hs,0.3,adj,0.7893165272594016,6000
ol,0.05,bal,0.8949883325161678,6000
ol,0.05,unbal1,0.8988467264829073,6000
ol,0.05,unbal2,0.9002066251596552,6000
ol,0.05,adj,0.9140121124721192,6000
ol,0.1,bal,0.8976245437752407,6000
ol,0.1,unbal1,0.8741082106829903,6000
ol,0.1,unbal2,0.8859080299450008,6000
ol,0.1,adj,0.8793364931160488,6000
ol,0.15,bal,0.8774674900638887,6000
ol,0.15,unbal1,0.8816876619404423,6000
ol,0.15,unbal2,0.8803870387431773,6000
ol,0.15,adj,0.8898896188149313,6000
ol,0.2,bal,0.8723843506331213,6000
ol,0.2,unbal1,0.8749353700708074,6000
ol,0.2,unbal2,0.8633893003137488,6000
ol,0.2,adj,0.8494629668505874,6000
ol,0.25,bal,0.848641677145861,6000
ol,0.25,unbal1,0.8471544353590434,6000
ol,0.25,unbal2,0.838695135135135,6000
ol,0.25,adj,0.8393251975869831,6000
ol,0.3,bal,0.819898354899042,6000
ol,0.3,unbal1,0.830298844082985,6000
ol,0.3,unbal2,0.8213129559454002,6000
ol,0.3,adj,0.8143570070276973,6000
