L,X,mode,simulations,len_data
hs,0.05,bal,0.007315240453501159,732.0
hs,0.05,unbal1,0.01744863087362276,732.0
hs,0.05,unbal2,0.01526643115314624,732.0
hs,0.05,adj,0.01034126847819548,732.0
hs,0.1,bal,0.01217658429849338,732.0
hs,0.1,unbal1,0.02339397778276536,732.0
hs,0.1,unbal2,0.024060739806441002,732.0
hs,0.1,adj,0.00814488045504826,732.0
hs,0.15,bal,0.01944114707206762,732.0
hs,0.15,unbal1,0.021872845380032542,732.0
hs,0.15,unbal2,0.02789153499681434,732.0
hs,0.15,adj,0.008458221903264219,732.0
hs,0.2,bal,0.00957911115526504,732.0
hs,0.2,unbal1,0.025716019966563163,732.0
hs,0.2,unbal2,0.029089217225059062,732.0
hs,0.2,adj,0.01740746588654852,732.0
hs,0.25,bal,0.0166383458942663,732.0
hs,0.25,unbal1,0.02647581803994098,732.0
hs,0.25,unbal2,0.03136972794767284,732.0
hs,0.25,adj,0.01921508048401498,732.0
hs,0.3,bal,0.014207813264242239,732.0
hs,0.3,unbal1,0.02762192231709838,732.0
hs,0.3,unbal2,0.0322861991749435,732.0
hs,0.3,adj,0.01109540576491842,732.0
ol,0.05,bal,0.02024945521354676,540.0
ol,0.05,unbal1,0.027023677799436818,540.0
ol,0.05,unbal2,0.027049497604370143,540.0
ol,0.05,adj,0.00926306026070205,540.0
ol,0.1,bal,0.02558532047271726,540.0
ol,0.1,unbal1,0.02885538970099556,540.0
ol,0.1,unbal2,0.028418669912550182,540.0
ol,0.1,adj,0.0183345798121558,540.0
ol,0.15,bal,0.0043760223918490404,540.0
ol,0.15,unbal1,0.02896256213717984,540.0
ol,0.15,unbal2,0.03190568108028828,540.0
ol,0.15,adj,0.0068683413664500205,540.0
ol,0.2,bal,0.00707466018641432,540.0
ol,0.2,unbal1,0.029218145767847602,540.0
ol,0.2,unbal2,0.03190475267834124,540.0
ol,0.2,adj,0.00792003846168506,540.0
ol,0.25,bal,0.0071711370680066595,540.0
ol,0.25,unbal1,0.02598825931549072,540.0
ol,0.25,unbal2,0.033060473998387664,540.0
ol,0.25,adj,0.0070631415755659606,540.0
ol,0.3,bal,0.0178209059503343,540.0
ol,0.3,unbal1,0.030515516969892704,540.0
ol,0.3,unbal2,0.0334199846850501,540.0
ol,0.3,adj,0.020175409820344662,540.0
