L,X,mode,simulations,len_data
hs,0.05,bal,0.4275111329422262,732.0
hs,0.05,unbal1,0.39472021131811064,732.0
hs,0.05,unbal2,0.4016008762591884,732.0
hs,0.05,adj,0.3939161676516147,732.0
hs,0.1,bal,0.40080036725413537,732.0
hs,0.1,unbal1,0.3608243595722704,732.0
hs,0.1,unbal2,0.34938259211419703,732.0
hs,0.1,adj,0.42459008030013135,732.0
hs,0.15,bal,0.3627359085103118,732.0
hs,0.15,unbal1,0.35768007511710553,732.0
hs,0.15,unbal2,0.3424949187981913,732.0
hs,0.15,adj,0.40818760005386656,732.0
hs,0.2,bal,0.4199636012241217,732.0
hs,0.2,unbal1,0.35728837245560274,732.0
hs,0.2,unbal2,0.3402490716314591,732.0
hs,0.2,adj,0.3955114195345294,732.0
hs,0.25,bal,0.3737651822435724,732.0
hs,0.25,unbal1,0.35728837245560274,732.0
hs,0.25,unbal2,0.3402490716314591,732.0
hs,0.25,adj,0.3657882166372011,732.0
hs,0.3,bal,0.4001011021468737,732.0
hs,0.3,unbal1,0.353776582438336,732.0
hs,0.3,unbal2,0.3402490716314591,732.0
hs,0.3,adj,0.3645881580884859,732.0
ol,0.05,bal,0.36324031227339393,540.0
ol,0.05,unbal1,0.3603774466049164,540.0
ol,0.05,unbal2,0.35475395700790757,540.0
ol,0.05,adj,0.3709537284914635,540.0
ol,0.1,bal,0.366846686091569,540.0
ol,0.1,unbal1,0.36684671319823475,540.0
ol,0.1,unbal2,0.35970124022875105,540.0
ol,0.1,adj,0.4208323641470728,540.0
ol,0.15,bal,0.42567542229455224,540.0
ol,0.15,unbal1,0.36684671319823475,540.0
ol,0.15,unbal2,0.35556058412696157,540.0
ol,0.15,adj,0.35177566707679864,540.0
ol,0.2,bal,0.37503147488468697,540.0
ol,0.2,unbal1,0.36409413250925315,540.0
ol,0.2,unbal2,0.35556058412696157,540.0
ol,0.2,adj,0.4079303643064252,540.0
ol,0.25,bal,0.3579536610156679,540.0
ol,0.25,unbal1,0.36551894419298503,540.0
ol,0.25,unbal2,0.35556058412696157,540.0
ol,0.25,adj,0.3353929762067862,540.0
ol,0.3,bal,0.4136965771346154,540.0
ol,0.3,unbal1,0.36176429971677654,540.0
ol,0.3,unbal2,0.35556058412696157,540.0
ol,0.3,adj,0.3695786513187177,540.0
