L,X,mode,a_bias,b_bias,simulations,len_data
hs,0.05,bal,55.170800187178294,44.82919981282171,48.52597098736546,2137.0
hs,0.05,unbal1,70.85336538461539,29.146634615384613,43.75,1664.0
hs,0.05,unbal2,78.50177304964538,21.49822695035461,46.409574468085104,2256.0
hs,0.05,adj,54.86272684969752,45.13727315030246,47.27780362959516,2149.0
hs,0.1,bal,59.63938973647712,40.36061026352289,46.50947757743874,2163.0
hs,0.1,unbal1,74.48036951501155,25.519630484988458,42.55196304849885,1732.0
hs,0.1,unbal2,81.23938879456706,18.760611205432937,41.468590831918505,2356.0
hs,0.1,adj,59.33762649494018,40.6623735050598,46.91812327506899,2174.0
hs,0.15,bal,63.87362637362637,36.12637362637363,43.54395604395605,2184.0
hs,0.15,unbal1,77.75919732441471,22.24080267558528,37.79264214046823,1794.0
hs,0.15,unbal2,84.02082498998799,15.979175010012014,37.84541449739688,2497.0
hs,0.15,adj,63.61149110807114,36.388508891928865,42.63565891472868,2193.0
hs,0.2,bal,68.99682251475261,31.00317748524739,40.89877439854743,2203.0
hs,0.2,unbal1,81.23997862105826,18.760021378941744,34.36664885088188,1871.0
hs,0.2,unbal2,86.61837590545177,13.381624094548226,33.89248951582158,2623.0
hs,0.2,adj,68.4068406840684,31.593159315931594,40.5940594059406,2222.0
hs,0.25,bal,74.34625788999098,25.653742110009013,35.572587917042384,2218.0
hs,0.25,unbal1,85.08771929824562,14.912280701754383,31.32094943240454,1938.0
hs,0.25,unbal2,89.48326055312955,10.516739446870451,28.529839883551677,2748.0
hs,0.25,adj,74.04580152671755,25.95419847328244,35.832959137853614,2227.0
hs,0.3,bal,79.90018148820327,20.099818511796737,30.308529945553538,2204.0
hs,0.3,unbal1,88.5369532428356,11.463046757164404,24.58521870286576,1989.0
hs,0.3,unbal2,92.09431345353676,7.905686546463246,22.122052704576976,2884.0
hs,0.3,adj,79.43166441136671,20.56833558863329,31.39377537212449,2217.0
ol,0.05,bal,53.81443298969073,46.18556701030928,49.48453608247423,1940.0
ol,0.05,unbal1,69.78609625668449,30.213903743315505,47.19251336898396,1496.0
ol,0.05,unbal2,77.5236200895077,22.47637991049229,44.45549477871706,2011.0
ol,0.05,adj,53.59342915811088,46.40657084188911,49.12731006160164,1948.0
ol,0.1,bal,57.19369598373157,42.806304016268435,46.365022877478395,1967.0
ol,0.1,unbal1,72.39382239382239,27.606177606177607,44.85199485199485,1554.0
ol,0.1,unbal2,79.59086584205518,20.409134157944813,43.91056137012369,2102.0
ol,0.1,adj,56.732223903177,43.267776096823,48.310640443772066,1983.0
ol,0.15,bal,61.07311941083641,38.926880589163595,45.87059442398738,1901.0
ol,0.15,unbal1,75.78328981723239,24.216710182767624,43.79895561357702,1532.0
ol,0.15,unbal2,82.56578947368422,17.434210526315788,37.17105263157895,2128.0
ol,0.15,adj,61.00893326326853,38.99106673673147,45.50709406200736,1903.0
ol,0.2,bal,64.77922077922078,35.22077922077922,43.63636363636363,1925.0
ol,0.2,unbal1,78.32914572864321,21.670854271356784,40.26381909547739,1592.0
ol,0.2,unbal2,84.26812585499316,15.731874145006842,36.57090743274054,2193.0
ol,0.2,adj,64.37790397521941,35.62209602478059,45.53433144037171,1937.0
ol,0.25,bal,68.17215727948991,31.827842720510098,42.029755579171095,1882.0
ol,0.25,unbal1,80.89533417402271,19.104665825977303,33.354350567465325,1586.0
ol,0.25,unbal2,86.34520054078413,13.654799459215862,31.86119873817035,2219.0
ol,0.25,adj,67.91953414505029,32.08046585494971,41.397564849126525,1889.0
ol,0.3,bal,72.5068870523416,27.493112947658403,36.19834710743802,1815.0
ol,0.3,unbal1,83.55555555555556,16.444444444444446,31.238095238095234,1575.0
ol,0.3,unbal2,88.38565022421525,11.614349775784753,26.905829596412552,2230.0
ol,0.3,adj,71.7557251908397,28.24427480916031,34.95092693565976,1834.0
