L,X,mode,simulations,len_data
hs,0.05,bal,0.012388002709612767,732
hs,0.05,unbal1,0.018057495811597934,732
hs,0.05,unbal2,0.015764346344223468,732
hs,0.05,adj,0.014395271135809684,732
hs,0.1,bal,0.005571583646242606,732
hs,0.1,unbal1,0.021126094509343718,732
hs,0.1,unbal2,0.027858855880674882,732
hs,0.1,adj,0.0059538443557551335,732
hs,0.15,bal,0.01586118216723037,732
hs,0.15,unbal1,0.025672178027408288,732
hs,0.15,unbal2,0.036705361754516386,732
hs,0.15,adj,0.00810688466973647,732
hs,0.2,bal,0.0023630995568031388,732
hs,0.2,unbal1,0.02836489175838197,732
hs,0.2,unbal2,0.037111929563876656,732
hs,0.2,adj,0.0072763964126670855,732
hs,0.25,bal,0.0030432353254224442,732
hs,0.25,unbal1,0.029552849589801256,732
hs,0.25,unbal2,0.04240659758692883,732
hs,0.25,adj,0.014791830152761754,732
hs,0.3,bal,0.004004526692009958,732
hs,0.3,unbal1,0.031149767591653665,732
hs,0.3,unbal2,0.04380254387204119,732
hs,0.3,adj,0.005172509997268759,732
ol,0.05,bal,0.004244728397440056,540
ol,0.05,unbal1,0.024940385597723602,540
ol,0.05,unbal2,0.027965649807894732,540
ol,0.05,adj,0.002626677177570369,540
ol,0.1,bal,0.026323861899199386,540
ol,0.1,unbal1,0.02935304809499678,540
ol,0.1,unbal2,0.031944184524041686,540
ol,0.1,adj,0.007713215571862775,540
ol,0.15,bal,0.005122853120168136,540
ol,0.15,unbal1,0.0299365399943457,540
ol,0.15,unbal2,0.03858762966261964,540
ol,0.15,adj,0.005607094499800014,540
ol,0.2,bal,0.0014951189800544995,540
ol,0.2,unbal1,0.030397984760778873,540
ol,0.2,unbal2,0.03932166567555173,540
ol,0.2,adj,0.0028177751876689028,540
ol,0.25,bal,0.0010094607317888693,540
ol,0.25,unbal1,0.0324328047257883,540
ol,0.25,unbal2,0.040835633763560586,540
ol,0.25,adj,0.003458014240971252,540
ol,0.3,bal,0.008910771608352686,540
ol,0.3,unbal1,0.03236618015501236,540
ol,0.3,unbal2,0.04073074234856505,540
ol,0.3,adj,0.024975633356306315,540
