L,X,mode,simulations,len_data
hs,0.05,bal,0.4156459132401882,732
hs,0.05,unbal1,0.3501628503993654,732
hs,0.05,unbal2,0.3501628503993654,732
hs,0.05,adj,0.3501628503993654,732
hs,0.1,bal,0.49176721994693673,732
hs,0.1,unbal1,0.3318165289338534,732
hs,0.1,unbal2,0.3318165289338534,732
hs,0.1,adj,0.47949816564109987,732
hs,0.15,bal,0.3318165289338534,732
hs,0.15,unbal1,0.3318165289338534,732
hs,0.15,unbal2,0.3318165289338534,732
hs,0.15,adj,0.33485234962733135,732
hs,0.2,bal,0.5005280142775748,732
hs,0.2,unbal1,0.3318165289338534,732
hs,0.2,unbal2,0.3318165289338534,732
hs,0.2,adj,0.4785434879076813,732
hs,0.25,bal,0.3821726575620647,732
hs,0.25,unbal1,0.3318165289338534,732
hs,0.25,unbal2,0.3318165289338534,732
hs,0.25,adj,0.3318165289338534,732
hs,0.3,bal,0.49971980432353796,732
hs,0.3,unbal1,0.3318165289338534,732
hs,0.3,unbal2,0.3318165289338534,732
hs,0.3,adj,0.422751830328627,732
ol,0.05,bal,0.48078643215941447,540
ol,0.05,unbal1,0.3009422520757533,540
ol,0.05,unbal2,0.3009422520757533,540
ol,0.05,adj,0.3667653125280244,540
ol,0.1,bal,0.33127775488714917,540
ol,0.1,unbal1,0.33127775488714917,540
ol,0.1,unbal2,0.33127775488714917,540
ol,0.1,adj,0.5017920503585104,540
ol,0.15,bal,0.33539297620678626,540
ol,0.15,unbal1,0.33127775488714917,540
ol,0.15,unbal2,0.33127775488714917,540
ol,0.15,adj,0.33539297620678626,540
ol,0.2,bal,0.4048088535716237,540
ol,0.2,unbal1,0.33127775488714917,540
ol,0.2,unbal2,0.33127775488714917,540
ol,0.2,adj,0.4048088535716237,540
ol,0.25,bal,0.33539297620678626,540
ol,0.25,unbal1,0.33127775488714917,540
ol,0.25,unbal2,0.33127775488714917,540
ol,0.25,adj,0.33539297620678626,540
ol,0.3,bal,0.4834358831199616,540
ol,0.3,unbal1,0.33127775488714917,540
ol,0.3,unbal2,0.33127775488714917,540
ol,0.3,adj,0.33127775488714917,540
